20701,Afritz am See,19.11.08
21001,Albeck,01.04.09
20501,Althofen,16.04.09
20702,Arnoldstein,26.05.09
20703,Arriach,17.06.11
20705,Bad Bleiberg,28.04.09
20601,Bad Kleinkirchheim,26.07.11
20901,Bad St. Leonhard im Lavanttal,23.06.09
20602,Baldramsdorf,10.06.09
20603,Berg im Drautal,03.06.09
20801,Bleiburg,26.06.09
20502,Brückl,23.06.09
20302,Dellach,12.02.09
20604,Dellach im Drautal,20.11.08
20503,Deutsch-Griffen,21.07.09
20802,Diex,17.04.09
20402,Ebenthal in Kärnten,22.09.09
20803,Eberndorf,20.11.08
20504,Eberstein,05.05.09
20804,Eisenkappel-Vellach,06.03.09
20707,Feistritz an der Gail,04.12.08
20403,Feistritz im Rosental,17.01.11
20805,Feistritz ob Bleiburg,10.03.09
20708,Feld am See,09.05.11
21002,Feldkirchen in Kärnten,20.11.08
20710,Ferndorf,21.09.09
20711,Finkenstein am Faaker See,08.07.09
20905,Frantschach-St. Gertraud,06.03.09
20534,Frauenstein,25.11.08
20712,Fresach,16.06.09
20505,Friesach,02.04.09
20806,Gallizien,13.01.09
20320,Gitschtal,29.01.09
21003,Glanegg,20.04.09
20608,Gmünd in Kärnten,20.01.11
21004,Gnesau,24.11.08
20409,Grafenstein,19.11.08
20609,Greifenburg,19.11.08
20808,Griffen,18.12.09
20508,Gurk,24.03.09
20509,Guttaring,25.05.09
20610,Heiligenblut am Großglockner,01.09.09
20305,Hermagor-Pressegger See,17.12.08
21005,Himmelberg,08.04.09
20713,Hohenthurn,20.11.08
20511,Hüttenberg,27.03.09
20611,Irschen,28.07.09
20512,Kappel am Krappfeld,20.03.09
20306,Kirchbach,05.02.09
20613,Kleblach-Lind,16.04.09
20513,Klein St. Paul,18.11.09
20307,Kötschach-Mauthen,18.02.09
20642,Krems in Kärnten,23.09.09
20415,Krumpendorf am Wörthersee,06.07.10
20616,Lendorf,23.07.09
20321,Lesachtal,17.02.09
20416,Ludmannsdorf,09.10.09
20643,Lurnfeld,20.07.09
20442,Magdalensberg,11.08.09
20618,Mallnitz,23.07.09
20619,Malta,06.06.18
20417,Maria Rain,20.07.09
20518,Metnitz,08.05.09
20519,Micheldorf,15.01.09
20620,Millstatt am See,26.01.09
20520,Mölbling,16.04.09
20622,Mörtschach,02.07.10
20810,Neuhaus,24.11.08
20719,Nötsch im Gailtal,13.10.11
20625,Oberdrauburg,16.09.09
20627,Obervellach,15.07.09
21006,Ossiach,08.04.09
20720,Paternion,25.08.09
20425,Poggersdorf,01.01.2011
20424,Pörtschach am Wörther See,20.02.09
20911,Preitenegg,05.05.11
20630,Radenthein,10.12.08
21007,Reichenau,25.11.08
20912,Reichenfels,18.06.09
20644,Reißeck,16.06.09
20632,Rennweg am Katschberg,18.08.09
20721,Rosegg,20.11.08
20812,Ruden,26.03.09
20633,Sachsenburg,18.09.09
20432,Schiefling am Wörthersee,28.05.09
20815,Sittersdorf,30.12.08
20913,St. Andrä,22.03.12
20523,St. Georgen am Längsee,14.07.09
20914,St. Georgen im Lavanttal,14.05.09
20722,St. Jakob im Rosental,18.01.11
20813,St. Kanzian am Klopeiner See,15.09.09
20428,St. Margareten im Rosental,05.05.09
20918,St. Paul im Lavanttal,28.05.09
20316,St. Stefan im Gailtal,05.02.09
21008,St. Urban,02.04.09
20527,St. Veit an der Glan,27.01.09
21009,Steindorf am Ossiacher See,08.04.09
20637,Steinfeld,06.05.09
21010,Steuerberg,03.04.09
20723,Stockenboi,13.01.09
20530,Straßburg,15.09.09
20435,Techelsberg am Wörther See,13.02.09
20638,Trebesing,03.07.09
20724,Treffen am Ossiacher See,15.12.10
20725,Velden am Wörther See,09.12.08
20817,Völkermarkt,30.04.09
20639,Weißensee,19.12.08
20726,Weißenstein,16.12.09
20531,Weitensfeld im Gurktal,21.07.09
20640,Winklern,20.11.08
20923,Wolfsberg,05.02.09
20441,Zell-Sele,01.01.2011
